above_100,first_name,last_name,price
true,William,Dixon,109.0372796
true,Kristen,Horn,262.5246522
true,Kimberly,Chang,187.0072583
true,Mary,Ball,283.1746476
true,Benjamin,Craig,143.8715817
,Cathy,Werner,61.50899135
,Brandon,Bell,48.6373091
,Paul,Farley,12.38946479
true,Sarah,Mcdaniel,151.5954472
,Caroline,Anderson,75.62152103
true,Carl,Jones,147.0294047
true,Scott,Lee,244.1856527
,Kaylee,Coleman,17.86427032
true,Charles,Parker,215.537283
,Susan,Hess,38.35997063
true,Kiara,Collier,204.1825486
true,Mr. Scott,Martinez,165.8514289
,Christopher,Ortega,30.30144506
true,Michael,Russell,243.1724911
true,Dwayne,Johnson,287.4932856
true,Patty,Smith,180.2344257
,Deanna,Sherman,99.79911842
true,Douglas,Francis,161.7688908
,Vicki,Diaz,18.64987672
true,Robin,Phillips,244.9119836
true,Travis,Rice,141.4988254
,Ashley,Rocha,50.00303731
,Sarah,Jacobson,80.48182457
,Kayla,Shannon,98.91531394
true,Sean Wang,DDS,220.6282177
,Richard,Estrada,49.16869151
true,Joseph,Torres,150.1237842
,Kim,Jones,18.8434377
true,Melissa,Tanner,269.1840299
,Jackson,Cline,64.31251721
true,Sonya,Foster,296.2155012
,Allen,Williams,15.3908317
,Mr. Thomas,Rivera,95.22843716
true,Jamie,Silva,296.8244075
,Kathleen,Moore,92.50052419
true,Evelyn,Pineda,169.2289293
true,Kyle,Peters,106.7990952
,Anthony,Cruz,49.10199817
true,Eric,Flores,122.9556986
true,Anna,Richardson,254.4952606
,Gary,Harper,47.59652592
true,Linda,Johnson,115.3627815
,Melissa,Smith,87.97994846
true,Kristen,Floyd,135.0230413
true,William,Diaz,192.1491355
true,Benjamin,Smith,134.9052939
true,David,Glenn,216.2910463
true,Dawn,Jones,271.6144999
,Joel,Smith,14.4949198
true,Mr. Larry Grimes,MD,268.6758682
true,Joseph,Arnold,121.7750468
true,Kyle,Long,241.6216391
true,Brittany,Day,261.5460574
,Bobby,Ward,63.5130358
true,Thomas,Lee,254.0755771
true,Jennifer,Hansen,101.4887352
true,Lisa,Murray,176.0919174
true,Meghan,Wade,273.2303409
,Tammie,Brooks,84.88856949
true,Maria,Bell,264.0746652
true,Allison,Livingston,130.3484426
,Chris,Hays,17.34276379
,Courtney,Mitchell,78.93257699
true,Shawn,White,188.0219256
true,Taylor,Gomez,225.0198237
true,Jeremy,Rodriguez,200.7248208
,April,Garcia,66.24555967
,Zachary,Watts,15.49738786
true,Sarah,Montoya,206.8212547
,Jennifer,Barker,89.18615989
,Sharon,Garza,72.35772704
true,Tiffany,Stevens,196.379322
,Ruben,Armstrong,93.69836738
true,Dr. Jeffrey,Spencer,271.162282
true,Nicole,Ramsey,247.8596071
true,Anne,Roy,277.9324821
true,Lori,Sanchez,285.6616405
true,Allison,Chavez,126.850211
,Marcus,Adams,36.47040894
,Mary,Smith,16.31507197
true,Joseph,Reed,178.4576742
,Jason,Armstrong,26.04525746
,Jeff,Armstrong,88.47561284
true,Sean,Shields,247.8395255
true,Jessica,Allison,104.742308
,Christian,Grant,99.11707917
true,Edward,Watson,180.3535589
true,Derrick,Cooke,142.090116
